,source,target,delta_time,line_name
2,GRABISZYŃSKA (Cmentarz II),GRABISZYŃSKA (Cmentarz),1.0,5
3,GRABISZYŃSKA (Cmentarz),Fiołkowa,1.0,5
4,Fiołkowa,FAT,2.0,5
5,FAT,Hutmen,1.0,5
6,Hutmen,Bzowa (Centrum Zajezdnia),1.0,5
7,Bzowa (Centrum Zajezdnia),pl. Srebrny,1.0,5
8,pl. Srebrny,Stalowa,1.0,5
9,Stalowa,Pereca,2.0,5
10,Pereca,Grabiszyńska,1.0,5
11,Grabiszyńska,Kolejowa,1.0,5
12,Kolejowa,pl. Legionów,2.0,5
13,pl. Legionów,Arkady (Capitol),2.0,5
14,Arkady (Capitol),DWORZEC GŁÓWNY,3.0,5
15,DWORZEC GŁÓWNY,Wzgórze Partyzantów,2.0,5
16,Wzgórze Partyzantów,GALERIA DOMINIKAŃSKA,3.0,5
17,GALERIA DOMINIKAŃSKA,pl. Wróblewskiego,4.0,5
18,pl. Wróblewskiego,pl. Zgody (Muzeum Etnograficzne),2.0,5
19,pl. Zgody (Muzeum Etnograficzne),Na Niskich Łąkach,2.0,5
20,Na Niskich Łąkach,Krakowska,1.0,5
21,Krakowska,KRAKOWSKA (Centrum handlowe),2.0,5
22,KRAKOWSKA (Centrum handlowe),Armii Krajowej,1.0,5
23,Armii Krajowej,Park Wschodni,1.0,5
24,Park Wschodni,Karwińska,2.0,5
25,Karwińska,Głubczycka,1.0,5
26,Głubczycka,KSIĘŻE MAŁE,1.0,5
1,BISKUPIN,Spółdzielcza,1.0,2
2,Spółdzielcza,Piramowicza,1.0,2
3,Piramowicza,Chełmońskiego,1.0,2
4,Chełmońskiego,Tramwajowa,1.0,2
5,Tramwajowa,ZOO,2.0,2
6,ZOO,Hala Stulecia,1.0,2
7,Hala Stulecia,Kliniki - Politechnika Wrocławska,2.0,2
8,Kliniki - Politechnika Wrocławska,PL. GRUNWALDZKI,2.0,2
9,PL. GRUNWALDZKI,Reja,1.0,2
10,Reja,Katedra,2.0,2
11,Katedra,Urząd Wojewódzki (Muzeum Narodowe),2.0,2
12,Urząd Wojewódzki (Muzeum Narodowe),GALERIA DOMINIKAŃSKA,4.0,2
13,GALERIA DOMINIKAŃSKA,Wzgórze Partyzantów,2.0,2
14,Wzgórze Partyzantów,DWORZEC GŁÓWNY,2.0,2
15,DWORZEC GŁÓWNY,Arkady (Capitol),3.0,2
16,Arkady (Capitol),Zaolziańska,2.0,2
17,Zaolziańska,Wielka,1.0,2
18,Wielka,Rondo,2.0,2
19,Rondo,Sztabowa,1.0,2
20,Sztabowa,Hallera,2.0,2
21,Hallera,Jastrzębia,1.0,2
22,Jastrzębia,Orla,1.0,2
23,Orla,KRZYKI,3.0,2
1,OPORÓW,GRABISZYŃSKA (Cmentarz II),1.0,20
2,GRABISZYŃSKA (Cmentarz II),GRABISZYŃSKA (Cmentarz),1.0,20
3,GRABISZYŃSKA (Cmentarz),Fiołkowa,1.0,20
4,Fiołkowa,FAT,2.0,20
5,FAT,Aleja Pracy,2.0,20
6,Aleja Pracy,Ojca Beyzyma,1.0,20
7,Ojca Beyzyma,Mielecka,2.0,20
8,Mielecka,Gajowicka,1.0,20
9,Gajowicka,Hallera,2.0,20
10,Hallera,Sztabowa,1.0,20
11,Sztabowa,Rondo,1.0,20
12,Rondo,Wielka,2.0,20
13,Wielka,Zaolziańska,1.0,20
14,Zaolziańska,Arkady (Capitol),3.0,20
15,Arkady (Capitol),Renoma,2.0,20
16,Renoma,pl. Orląt Lwowskich,4.0,20
17,pl. Orląt Lwowskich,Dworzec Świebodzki,2.0,20
18,Dworzec Świebodzki,Smolecka,2.0,20
19,Smolecka,Śrubowa,1.0,20
20,Śrubowa,Dolmed,1.0,20
21,Dolmed,ZACHODNIA (Stacja kolejowa),2.0,20
22,ZACHODNIA (Stacja kolejowa),Niedźwiedzia,2.0,20
23,Niedźwiedzia,Małopanewska,1.0,20
24,Małopanewska,Kwiska,2.0,20
25,Kwiska,DH Astra,2.0,20
26,DH Astra,Park Zachodni,1.0,20
27,Park Zachodni,Bajana,1.0,20
28,Bajana,Metalowców,2.0,20
29,Metalowców,PILCZYCE,1.0,20
30,PILCZYCE,Tarczyński Arena (Lotnicza),2.0,20
31,Tarczyński Arena (Lotnicza),Glinianki,1.0,20
32,Glinianki,Aleja Architektów,1.0,20
33,Aleja Architektów,Grabowa,1.0,20
34,Grabowa,Kosmonautów (Szpital),2.0,20
35,Kosmonautów (Szpital),Kamiennogórska (Ośrodek dla niewidomych),1.0,20
36,Kamiennogórska (Ośrodek dla niewidomych),Złotnicka,2.0,20
37,Złotnicka,Wschowska,1.0,20
38,Wschowska,Jeleniogórska,1.0,20
39,Jeleniogórska,LEŚNICA,1.0,20
1,GRABISZYŃSKA (Cmentarz),Fiołkowa,1.0,11
2,Fiołkowa,FAT,2.0,11
3,FAT,Hutmen,1.0,11
4,Hutmen,Bzowa (Centrum Zajezdnia),1.0,11
5,Bzowa (Centrum Zajezdnia),pl. Srebrny,1.0,11
6,pl. Srebrny,Stalowa,1.0,11
7,Stalowa,Pereca,2.0,11
8,Pereca,Grabiszyńska,1.0,11
9,Grabiszyńska,Kolejowa,1.0,11
10,Kolejowa,pl. Legionów,2.0,11
11,pl. Legionów,Arkady (Capitol),2.0,11
12,Arkady (Capitol),DWORZEC GŁÓWNY,3.0,11
13,DWORZEC GŁÓWNY,Wzgórze Partyzantów,2.0,11
14,Wzgórze Partyzantów,GALERIA DOMINIKAŃSKA,3.0,11
15,GALERIA DOMINIKAŃSKA,pl. Nowy Targ,1.0,11
16,pl. Nowy Targ,Hala Targowa,1.0,11
17,Hala Targowa,pl. Bema,3.0,11
18,pl. Bema,Na Szańcach,1.0,11
19,Na Szańcach,Jedności Narodowej,1.0,11
20,Jedności Narodowej,Nowowiejska,2.0,11
21,Nowowiejska,Daszyńskiego,1.0,11
22,Daszyńskiego,Mosty Warszawskie,2.0,11
23,Mosty Warszawskie,KROMERA,3.0,11
24,KROMERA,Kętrzyńska,1.0,11
25,Kętrzyńska,Kwidzyńska,1.0,11
26,Kwidzyńska,Gęsia,1.0,11
27,Gęsia,Bociania,2.0,11
28,Bociania,KOWALE,1.0,11
1,ZOO,Hala Stulecia,1.0,16
2,Hala Stulecia,Kliniki - Politechnika Wrocławska,2.0,16
3,Kliniki - Politechnika Wrocławska,PL. GRUNWALDZKI,2.0,16
4,PL. GRUNWALDZKI,most Grunwaldzki,1.0,16
5,most Grunwaldzki,Urząd Wojewódzki (Impart),2.0,16
6,Urząd Wojewódzki (Impart),pl. Wróblewskiego,2.0,16
