,source,target,delta_time,line_name
36,Skarbowców,Os. Przyjaźni,1.0,107
37,Os. Przyjaźni,Zimowa,1.0,107
38,Zimowa,KRZYKI,2.0,107
1,Dworzec Główny (Dworcowa),Wzgórze Partyzantów,4.0,106
2,Wzgórze Partyzantów,Renoma,2.0,106
3,Renoma,pl. Orląt Lwowskich,4.0,106
4,pl. Orląt Lwowskich,Dworzec Świebodzki,2.0,106
5,Dworzec Świebodzki,Smolecka,2.0,106
6,Smolecka,Śrubowa,1.0,106
7,Śrubowa,Wrocławski Park Przemysłowy,1.0,106
8,Wrocławski Park Przemysłowy,Dolnośląska Szkoła Wyższa,2.0,106
9,Dolnośląska Szkoła Wyższa,Fabryczna,2.0,106
10,Fabryczna,Otyńska,2.0,106
11,Otyńska,Strzegomska 148,2.0,106
12,Strzegomska 148,Nowodworska,2.0,106
13,Nowodworska,Nowy Dwór,2.0,106
14,Nowy Dwór,Rogowska,2.0,106
15,Rogowska,MIŃSKA (Rondo Rotm. Pileckiego),3.0,106
16,MIŃSKA (Rondo Rotm. Pileckiego),Park Tysiąclecia,1.0,106
17,Park Tysiąclecia,Zagłoby,3.0,106
18,Zagłoby,Przybyły,2.0,106
19,Przybyły,Graniczna,1.0,106
20,Graniczna,Skarżyńskiego,1.0,106
21,Skarżyńskiego,Zarembowicza,1.0,106
22,Zarembowicza,Strachowice General Aviation,1.0,106
23,Strachowice General Aviation,Graniczna (Strachowicka),2.0,106
24,Graniczna (Strachowicka),Rdestowa,1.0,106
25,Rdestowa,PORT LOTNICZY,3.0,106
1,Kwiska,Kolista,6.0,101
2,Kolista,Modra,2.0,101
3,Modra,Górnicza,3.0,101
4,Górnicza,Dworska,1.0,101
5,Dworska,TARCZYŃSKI ARENA (Królewiecka),2.0,101
6,TARCZYŃSKI ARENA (Królewiecka),Królewiecka,1.0,101
7,Królewiecka,Warmińska,1.0,101
8,Warmińska,Królewiecka (Park),1.0,101
9,Królewiecka (Park),Suwalska,1.0,101
10,Suwalska,Brodzka,1.0,101
11,Brodzka,Lubelska,2.0,101
12,Lubelska,Zbożowa,2.0,101
13,Zbożowa,PRACZE ODRZAŃSKIE,2.0,101
14,PRACZE ODRZAŃSKIE,PRACZE ODRZAŃSKIE (Stacja kolejowa),1.0,101
15,PRACZE ODRZAŃSKIE (Stacja kolejowa),STABŁOWICKA (Ośrodek zdrowia),1.0,101
16,STABŁOWICKA (Ośrodek zdrowia),Główna,1.0,101
17,Główna,Park Stabłowicki,1.0,101
18,Park Stabłowicki,Stabłowice,1.0,101
19,Stabłowice,Ciechocińska,1.0,101
20,Ciechocińska,Śnieżna,1.0,101
21,Śnieżna,Jeleniogórska,1.0,101
22,Jeleniogórska,LEŚNICA,1.0,101
1,MULICKA,Psie Pole (Rondo Lotników Polskich),1.0,934
2,Psie Pole (Rondo Lotników Polskich),Kopańskiego,2.0,934
3,Kopańskiego,Wallenroda,1.0,934
4,Wallenroda,Przedwiośnie (Stacja kolejowa),1.0,934
5,Przedwiośnie (Stacja kolejowa),ZAKRZÓW,1.0,934
6,ZAKRZÓW,Odrodzenia Polski,1.0,934
7,Odrodzenia Polski,Odolanowska,0.0,934
8,Odolanowska,Pruszowice - las,4.0,934
9,Pruszowice - las,Domaszczyn - Stawowa,1.0,934
10,Domaszczyn - Stawowa,Pruszowice,2.0,934
11,Pruszowice,Domaszczyn - Stawowa,2.0,934
12,Domaszczyn - Stawowa,Domaszczyn - skrzy.,0.0,934
13,Domaszczyn - skrzy.,Domaszczyn - Trzebnicka,1.0,934
14,Domaszczyn - Trzebnicka,Bukowina - skrzy.,1.0,934
15,Bukowina - skrzy.,Bąków,1.0,934
16,Bąków,Łozina - Wrocławska (na wys. nr 18),3.0,934
17,Łozina - Wrocławska (na wys. nr 18),Łozina - skrzy.,1.0,934
18,Łozina - skrzy.,Łozina - Milicka/poczta,1.0,934
19,Łozina - Milicka/poczta,Łozina - Milicka/szkoła,0.0,934
20,Łozina - Milicka/szkoła,Bierzyce,1.0,934
21,Bierzyce,Bierzyce - wieś,1.0,934
22,Bierzyce - wieś,Zaprężyn,3.0,934
23,Zaprężyn,Krakowiany - skrzy.,3.0,934
24,Krakowiany - skrzy.,Węgrów (na wys. nr 7),3.0,934
25,Węgrów (na wys. nr 7),Węgrów (na wys. nr 27),1.0,934
26,Węgrów (na wys. nr 27),Skała - wieś,2.0,934
27,Skała - wieś,Jaksonowice - skrzy.,3.0,934
1,DWORZEC NADODRZE,DWORZEC NADODRZE,1.0,108
2,DWORZEC NADODRZE,Trzebnicka,2.0,108
3,Trzebnicka,Broniewskiego,3.0,108
4,Broniewskiego,Bałtycka,2.0,108
5,Bałtycka,Bezpieczna,2.0,108
6,Bezpieczna,Paprotna,2.0,108
7,Paprotna,Irysowa,1.0,108
8,Irysowa,Obornicka (Obwodnica),2.0,108
9,Obornicka (Obwodnica),Ostowa (Muzeum Militarne),2.0,108
10,Ostowa (Muzeum Militarne),Pełczyńska (Stacja kolejowa),1.0,108
11,Pełczyńska (Stacja kolejowa),Kominiarska,1.0,108
12,Kominiarska,Lawendowa,1.0,108
13,Lawendowa,Rzemieślnicza,1.0,108
14,Rzemieślnicza,Kominiarska (plac sportowy),1.0,108
15,Kominiarska (plac sportowy),PRACZE WIDAWSKIE,1.0,108
1,LEŚNICA,RUBCZAKA (Stacja kolejowa),2.0,137
2,RUBCZAKA (Stacja kolejowa),Rubczaka,1.0,137
3,Rubczaka,Średzka,1.0,137
4,Średzka,Eluarda,2.0,137
5,Eluarda,Brzezińska,1.0,137
6,Brzezińska,Owczarska,1.0,137
7,Owczarska,Dolnobrzeska,1.0,137
8,Dolnobrzeska,Mokra,3.0,137
9,Mokra,Las Mokrzański,1.0,137
1,KRZYKI,Zimowa,2.0,933
2,Zimowa,Os. Przyjaźni,1.0,933
3,Os. Przyjaźni,Skarbowców,2.0,933
4,Skarbowców,KLECINA,1.0,933
5,KLECINA,Kościelna,1.0,933
6,Kościelna,WAŁBRZYSKA,2.0,933
7,WAŁBRZYSKA,Marcepanowa,1.0,933
8,Marcepanowa,Słoneczna,1.0,933
9,Słoneczna,Połabian,1.0,933
10,Połabian,Kwiatkowskiego,3.0,933
11,Kwiatkowskiego,Zabrodzie - pętla,1.0,933
1,Starościńska,Ługowa,1.0,130
2,Ługowa,Kątowa,1.0,130
3,Kątowa,Milicka,1.0,130
4,Milicka,Kamieńskiego (Szpital),1.0,130
5,Kamieńskiego (Szpital),Jutrosińska,1.0,130
6,Jutrosińska,Gąsiorowskiego,1.0,130
7,Gąsiorowskiego,Mochnackiego,1.0,130
8,Mochnackiego,Kamieńskiego,2.0,130
9,Kamieńskiego,Broniewskiego,4.0,130
10,Broniewskiego,Pola,2.0,130
11,Pola,Syrokomli,1.0,130
12,Syrokomli,Kasprowicza,1.0,130
13,Kasprowicza,pl. Daniłowskiego,2.0,130
14,pl. Daniłowskiego,Berenta,1.0,130
15,Berenta,KROMERA,6.0,130
16,KROMERA,Kromera (Czajkowskiego),2.0,130
17,Kromera (Czajkowskiego),Grudziądzka,1.0,130
18,Grudziądzka,Brücknera,3.0,130
19,Brücknera,C.H. Korona,2.0,130
20,C.H. Korona,Zielna,2.0,130
21,Zielna,Psie Pole,1.0,130
22,Psie Pole,Psie Pole (Rondo Lotników Polskich),2.0,130
23,Psie Pole (Rondo Lotników Polskich),Zakrzowska,1.0,130
24,Zakrzowska,Kopańskiego,1.0,130
25,Kopańskiego,Wallenroda,1.0,130
26,Wallenroda,Królewska,2.0,130
27,Królewska,OSIEDLE SOBIESKIEGO,2.0,130
1,Księginice P&R,Księginice ul. Sportowa,1.0,958
2,Księginice ul. Sportowa,Gąsiorów,2.0,958
3,Gąsiorów,Głoska - ul. Średzka,3.0,958
4,Głoska - ul. Średzka,Lubiatów,5.0,958
5,Lubiatów,Zabór Mały,2.0,958
6,Zabór Mały,Zabór Wielki,2.0,958
7,Zabór Wielki,Klęka,2.0,958
8,Klęka,Miękinia - Urząd Gminy,5.0,958
9,Miękinia - Urząd Gminy,Miękinia - stacja PKP,1.0,958
10,Miękinia - stacja PKP,Miękinia - Urząd Gminy,1.0,958
11,Miękinia - Urząd Gminy,Mrozów - Wyzwolenia,8.0,958
12,Mrozów - Wyzwolenia,Mrozów - Świetlica,2.0,958
13,Mrozów - Świetlica,Żurawiniec,3.0,958
14,Żurawiniec,Krępice - Wrocławska,2.0,958
15,Krępice - Wrocławska,Krępice,3.0,958
16,Krępice,ŻAR,3.0,958
17,ŻAR,Mokrzańska,3.0,958
18,Mokrzańska,Krępicka,1.0,958
19,Krępicka,Krępicka - szkoła,1.0,958
20,Krępicka - szkoła,Zajazdowa,1.0,958
21,Zajazdowa,Eluarda,1.0,958
22,Eluarda,Średzka,2.0,958
23,Średzka,Rubczaka,1.0,958
24,Rubczaka,RUBCZAKA (Stacja kolejowa),1.0,958
25,RUBCZAKA (Stacja kolejowa),LEŚNICA,1.0,958
1,Fiołkowa,FAT,3.0,967
2,FAT,Ostrowskiego,1.0,967
3,Ostrowskiego,Końcowa,2.0,967
4,Końcowa,Krzemieniecka,2.0,967
5,Krzemieniecka,Trawowa,1.0,967
6,Trawowa,Stanisławowska (W.K. Formaty),2.0,967
7,Stanisławowska (W.K. Formaty),Muchobór Wielki,1.0,967
8,Muchobór Wielki,Gagarina,2.0,967
9,Gagarina,Smolec - Chłopska/Wrzosowa,4.0,967
10,Smolec - Chłopska/Wrzosowa,Smolec - Chłopska/Śliwkowa,1.0,967
11,Smolec - Chłopska/Śliwkowa,Smolec - Chłopska/Cisowa,2.0,967
12,Smolec - Chłopska/Cisowa,Smolec - Lipowa/pętla,2.0,967
13,Smolec - Lipowa/pętla,Smolec - Dębowa (sklep),1.0,967
14,Smolec - Dębowa (sklep),Krzeptów - skrzy.,2.0,967
15,Krzeptów - skrzy.,Krzeptów - Boisko,1.0,967
16,Krzeptów - Boisko,Krzeptów - Dolina Krzeptowa,1.0,967
17,Krzeptów - Dolina Krzeptowa,Smolec - Wiśniowa,2.0,967
1,PL. GRUNWALDZKI,Kochanowskiego,4.0,116
2,Kochanowskiego,Śniadeckich,2.0,116
3,Śniadeckich,Zacisze,2.0,116
4,Zacisze,Kwidzyńska,3.0,116
5,Kwidzyńska,KROMERA,6.0,116
6,KROMERA,Berenta,2.0,116
7,Berenta,Kasprowicza,2.0,116
8,Kasprowicza,pl. Daniłowskiego,1.0,116
9,pl. Daniłowskiego,Przybyszewskiego,1.0,116
10,Przybyszewskiego,Czajkowskiego,1.0,116
11,Czajkowskiego,Koszarowa,2.0,116
12,Koszarowa,Sołtysowicka,1.0,116
13,Sołtysowicka,Poprzeczna,1.0,116
14,Poprzeczna,Redycka,1.0,116
15,Redycka,Bagatela,1.0,116
16,Bagatela,SOŁTYSOWICE,2.0,116
1,POŚWIĘCKA (Ośrodek zdrowia),Poświęcka,1.0,129
2,Poświęcka,Żmigrodzka (Obwodnica),2.0,129
3,Żmigrodzka (Obwodnica),POŚWIĘTNE,1.0,129
4,POŚWIĘTNE,Wołowska,1.0,129
5,Wołowska,Kępińska,1.0,129
6,Kępińska,Kamieńskiego,2.0,129
7,Kamieńskiego,Broniewskiego,3.0,129
8,Broniewskiego,Bałtycka,2.0,129
9,Bałtycka,most Osobowicki,2.0,129
10,most Osobowicki,Serbska (C.K. Agora),1.0,129
11,Serbska (C.K. Agora),OSOBOWICKA (Cmentarz II),1.0,129
12,OSOBOWICKA (Cmentarz II),OSOBOWICKA (Cmentarz),1.0,129
13,OSOBOWICKA (Cmentarz),most Milenijny,2.0,129
14,most Milenijny,Hala Orbita,2.0,129
15,Hala Orbita,Wejherowska,5.0,129
16,Wejherowska,Kwiska,2.0,129
17,Kwiska,Na Ostatnim Groszu,3.0,129
18,Na Ostatnim Groszu,Orlińskiego,1.0,129
19,Orlińskiego,Drzewieckiego,1.0,129
20,Drzewieckiego,Hynka,2.0,129
21,Hynka,Bystrzycka,2.0,129
22,Bystrzycka,KUŹNIKI (Stacja kolejowa),1.0,129
23,KUŹNIKI (Stacja kolejowa),KUŹNIKI,2.0,129
24,KUŹNIKI,Kołobrzeska,1.0,129
25,Kołobrzeska,Kołobrzeska,1.0,129
26,Kołobrzeska,Szczecińska,2.0,129
27,Szczecińska,Żerniki,2.0,129
28,Żerniki,Strachowicka,1.0,129
29,Strachowicka,Żernicka,1.0,129
30,Żernicka,Jerzmanowska nr 9,1.0,129
31,Jerzmanowska nr 9,Jerzmanowska nr 17,1.0,129
32,Jerzmanowska nr 17,Jerzmanowo (Cmentarz I),3.0,129
33,Jerzmanowo (Cmentarz I),Piołunowa,1.0,129
34,Piołunowa,Kaczorowskiego,1.0,129
35,Kaczorowskiego,Jerzmanowo (Cmentarz),1.0,129
36,Jerzmanowo (Cmentarz),Osiniecka,2.0,129
37,Osiniecka,PORT LOTNICZY,4.0,129
1,KMINKOWA,Waniliowa,2.0,111
2,Waniliowa,Cynamonowa,1.0,111
3,Cynamonowa,Tymiankowa,1.0,111
4,Tymiankowa,Lipa Piotrowska,1.0,111
5,Lipa Piotrowska,Kominiarska,2.0,111
6,Kominiarska,Pełczyńska (Stacja kolejowa),1.0,111
7,Pełczyńska (Stacja kolejowa),Ostowa (Muzeum Militarne),1.0,111
8,Ostowa (Muzeum Militarne),Ćwiczebna,2.0,111
9,Ćwiczebna,Obornicka (Obwodnica),1.0,111
10,Obornicka (Obwodnica),Irysowa,1.0,111
11,Irysowa,Paprotna,1.0,111
12,Paprotna,Obornicka (Wołowska),1.0,111
13,Obornicka (Wołowska),Bezpieczna,1.0,111
14,Bezpieczna,Bałtycka (szkoła),2.0,111
15,Bałtycka (szkoła),Bałtycka,2.0,111
16,Bałtycka,Broniewskiego,2.0,111
17,Broniewskiego,Zakładowa,3.0,111
18,Zakładowa,Słonimskiego,2.0,111
19,Słonimskiego,Daszyńskiego,3.0,111
20,Daszyńskiego,Nowowiejska,2.0,111
21,Nowowiejska,Jedności Narodowej,1.0,111
22,Jedności Narodowej,Na Szańcach,1.0,111
23,Na Szańcach,pl. Bema,3.0,111
24,pl. Bema,Ogród Botaniczny,3.0,111
25,Ogród Botaniczny,Katedra,2.0,111
26,Katedra,Reja,1.0,111
27,Reja,PL. GRUNWALDZKI,2.0,111
28,PL. GRUNWALDZKI,Bujwida,2.0,111
29,Bujwida,Kochanowskiego,2.0,111
30,Kochanowskiego,Śniadeckich,2.0,111
31,Śniadeckich,Zacisze,2.0,111
32,Zacisze,Kwidzyńska,2.0,111
33,Kwidzyńska,Brücknera,2.0,111
34,Brücknera,C.H. Korona,2.0,111
35,C.H. Korona,Zielna,2.0,111
36,Zielna,Psie Pole,1.0,111
37,Psie Pole,Psie Pole (Rondo Lotników Polskich),2.0,111
38,Psie Pole (Rondo Lotników Polskich),Zakrzowska,1.0,111
39,Zakrzowska,Kopańskiego,1.0,111
40,Kopańskiego,Wallenroda,1.0,111
41,Wallenroda,Królewska,2.0,111
42,Królewska,OSIEDLE SOBIESKIEGO,2.0,111
1,PL. GRUNWALDZKI,Kliniki - Politechnika Wrocławska,2.0,315
2,Kliniki - Politechnika Wrocławska,Hala Stulecia,2.0,315
3,Hala Stulecia,Tramwajowa,2.0,315
4,Tramwajowa,Partyzantów,2.0,315
5,Partyzantów,Okrzei,1.0,315
6,Okrzei,Monte Cassino,1.0,315
7,Monte Cassino,Libelta,1.0,315
8,Libelta,SĘPOLNO,2.0,315
9,SĘPOLNO,Monopolowa,2.0,315
10,Monopolowa,Ceglana,3.0,315
11,Ceglana,Gospodarska,1.0,315
12,Gospodarska,Miłoszycka,1.0,315
13,Miłoszycka,Swojczyce,1.0,315
1,Kozia,Północna,1.0,127
2,Północna,Maślicka (Staw),1.0,127
3,Maślicka (Staw),Maślice Małe (Brodnicka),1.0,127
4,Maślice Małe (Brodnicka),Rędzińska (Cmentarz),1.0,127
5,Rędzińska (Cmentarz),Maślicka (Osiedle),1.0,127
6,Maślicka (Osiedle),TARCZYŃSKI ARENA (Królewiecka),3.0,127
7,TARCZYŃSKI ARENA (Królewiecka),Dworska,1.0,127
8,Dworska,Górnicza,2.0,127
9,Górnicza,KOZANÓW (Dokerska),1.0,127
10,KOZANÓW (Dokerska),KOZANÓW,2.0,127
11,KOZANÓW,Dzielna,1.0,127
12,Dzielna,Wiślańska,1.0,127
13,Wiślańska,Kolista,2.0,127
14,Kolista,Wejherowska,4.0,127
15,Wejherowska,Rysia,2.0,127
16,Rysia,Popowice,2.0,127
17,Popowice,POPOWICE (Stacja kolejowa),1.0,127
18,POPOWICE (Stacja kolejowa),DŁUGA (Politechnika),1.0,127
19,DŁUGA (Politechnika),Poznańska,1.0,127
20,Poznańska,Szczepin,2.0,127
21,Szczepin,Inowrocławska,1.0,127
22,Inowrocławska,PL. SOLIDARNOŚCI,2.0,127
23,PL. SOLIDARNOŚCI,PL. JANA PAWŁA II,3.0,127
24,PL. JANA PAWŁA II,pl. Orląt Lwowskich,3.0,127
25,pl. Orląt Lwowskich,Tęczowa,1.0,127
26,Tęczowa,Grabiszyńska,4.0,127
27,Grabiszyńska,Zaporoska,3.0,127
28,Zaporoska,Krucza,1.0,127
29,Krucza,Gajowicka,2.0,127
30,Gajowicka,Hallera,4.0,127
31,Hallera,Sudecka,1.0,127
32,Sudecka,Wiśniowa,3.0,127
33,Wiśniowa,Jaworowa,1.0,127
34,Jaworowa,Weigla (Szpital),1.0,127
35,Weigla (Szpital),Pułtuska,1.0,127
36,Pułtuska,Wyścigowa,3.0,127
37,Wyścigowa,Malinowa,1.0,127
38,Malinowa,Ożynowa,1.0,127
39,Ożynowa,rondo Św. Ojca Pio,3.0,127
40,rondo Św. Ojca Pio,ZWYCIĘSKA,1.0,127
1,GALERIA DOMINIKAŃSKA,Ogród Botaniczny,7.0,924
2,Ogród Botaniczny,Wyszyńskiego,2.0,924
3,Wyszyńskiego,KROMERA,4.0,924
4,KROMERA,Grudziądzka,3.0,924
5,Grudziądzka,Brücknera,3.0,924
6,Brücknera,C.H. Korona,2.0,924
7,C.H. Korona,Psie Pole,3.0,924
8,Psie Pole,Psie Pole (Rondo Lotników Polskich),2.0,924
9,Psie Pole (Rondo Lotników Polskich),PSIE POLE (Stacja kolejowa),1.0,924
10,PSIE POLE (Stacja kolejowa),Dobroszycka,1.0,924
11,Dobroszycka,Bierutowska 65,1.0,924
12,Bierutowska 65,Bierutowska,1.0,924
13,Bierutowska,Bierutowska 75,1.0,924
14,Bierutowska 75,BIERUTOWSKA (Wiadukt),1.0,924
15,BIERUTOWSKA (Wiadukt),Mirków - Sportowa,2.0,924
16,Mirków - Sportowa,Mirków - Jagiellońska,2.0,924
17,Mirków - Jagiellońska,Długołęka - Wiejska,5.0,924
18,Długołęka - Wiejska,Długołęka - Kasztanowa,2.0,924
19,Długołęka - Kasztanowa,Długołęka - Kościół,4.0,924
20,Długołęka - Kościół,Długołęka - Nowy Urząd,1.0,924
21,Długołęka - Nowy Urząd,Kamień - Bursztynowa,2.0,924
22,Kamień - Bursztynowa,Kamień - skrzy.,1.0,924
23,Kamień - skrzy.,Kamień - skrzy. Kryształowa,1.0,924
24,Kamień - skrzy. Kryształowa,Piecowice,4.0,924
25,Piecowice,Bielawa,4.0,924
26,Bielawa,Raków - osiedle,2.0,924
27,Raków - osiedle,Raków - skrzy.,1.0,924
28,Raków - skrzy.,Raków II,0.0,924
29,Raków II,Raków I,1.0,924
30,Raków I,Borowa - stacja kolejowa,3.0,924
31,Borowa - stacja kolejowa,Borowa - szkoła,1.0,924
32,Borowa - szkoła,Borowa - skrzy.,2.0,924
33,Borowa - skrzy.,Stępin,2.0,924
34,Stępin,Stępin - Kościół,1.0,924
1,RĘDZIN,Las Osobowicki,4.0,118
2,Las Osobowicki,Lipska,2.0,118
3,Lipska,Jarocińska,1.0,118
4,Jarocińska,OSOBOWICE,2.0,118
5,OSOBOWICE,OSOBOWICKA (Cmentarz),2.0,118
6,OSOBOWICKA (Cmentarz),OSOBOWICKA (Cmentarz II),1.0,118
7,OSOBOWICKA (Cmentarz II),Łużycka,2.0,118
8,Łużycka,Różanka,2.0,118
9,Różanka,Bezpieczna,2.0,118
10,Bezpieczna,Bałtycka (szkoła),2.0,118
11,Bałtycka (szkoła),Bałtycka,2.0,118
12,Bałtycka,Broniewskiego,3.0,118
13,Broniewskiego,Pola,2.0,118
14,Pola,Syrokomli,1.0,118
15,Syrokomli,Kasprowicza,1.0,118
16,Kasprowicza,pl. Daniłowskiego,2.0,118
17,pl. Daniłowskiego,Berenta,1.0,118
18,Berenta,KROMERA,5.0,118
19,KROMERA,Kwidzyńska,4.0,118
20,Kwidzyńska,Brücknera,2.0,118
21,Brücknera,Olsztyńska,2.0,118
22,Olsztyńska,Kowalska 56,1.0,118
23,Kowalska 56,Kowale (Stacja kolejowa),1.0,118
24,Kowale (Stacja kolejowa),Działdowska,1.0,118
25,Działdowska,Tczewska,1.0,118
26,Tczewska,Kowalska,1.0,118
27,Kowalska,Ceglana,1.0,118
28,Ceglana,Gospodarska,1.0,118
29,Gospodarska,Miłoszycka,1.0,118
30,Miłoszycka,Swojczyce,1.0,118
31,Swojczyce,Magellana,2.0,118
32,Magellana,Kolumba,1.0,118
33,Kolumba,Monopolowa,1.0,118
34,Monopolowa,SĘPOLNO,2.0,118
1,GALERIA DOMINIKAŃSKA,skwer Krasińskiego,4.0,120
2,skwer Krasińskiego,Dworzec Główny (Dworcowa),1.0,120
3,Dworzec Główny (Dworcowa),Kościuszki,3.0,120
4,Kościuszki,Świstackiego,2.0,120
5,Świstackiego,Na Niskich Łąkach,2.0,120
6,Na Niskich Łąkach,Rakowiecka,2.0,120
7,Rakowiecka,Międzyrzecka,2.0,120
8,Międzyrzecka,Bierdzany,1.0,120
9,Bierdzany,Nowy Dom,3.0,120
10,Nowy Dom,Opatowicka nr 59,2.0,120
11,Opatowicka nr 59,Opatowicka nr 85,1.0,120
12,Opatowicka nr 85,OPATOWICE,1.0,120
13,OPATOWICE,Opatowicka nr 127,1.0,120
14,Opatowicka nr 127,Zalewowa,1.0,120
15,Zalewowa,Trestno - świetlica,1.0,120
16,Trestno - świetlica,Trestno - kościół,1.0,120
17,Trestno - kościół,TRESTNO (pętla),1.0,120
1,LEŚNICA,Jeleniogórska,1.0,923
2,Jeleniogórska,Śnieżna,1.0,923
3,Śnieżna,Ciechocińska,1.0,923
4,Ciechocińska,Stabłowice,1.0,923
5,Stabłowice,Park Stabłowicki,1.0,923
6,Park Stabłowicki,Główna,1.0,923
7,Główna,Marszowice,2.0,923
8,Marszowice,Wilkszyńska,2.0,923
9,Wilkszyńska,Łososiowicka,1.0,923
10,Łososiowicka,Krzelowska,1.0,923
11,Krzelowska,Wilkszyn - Miłoszyn,1.0,923
12,Wilkszyn - Miłoszyn,Wilkszyn - Polna,1.0,923
13,Wilkszyn - Polna,Wilkszyn (pętla),1.0,923
14,Wilkszyn (pętla),Pisarzowice - Graniczna,2.0,923
15,Pisarzowice - Graniczna,Pisarzowice - Odrzańska,2.0,923
16,Pisarzowice - Odrzańska,Pisarzowice - Szkolna,1.0,923
17,Pisarzowice - Szkolna,Pisarzowice - Kolejowa,1.0,923
18,Pisarzowice - Kolejowa,Brzezinka Średzka - ul. Kolejowa,2.0,923
19,Brzezinka Średzka - ul. Kolejowa,Brzezinka Średzka - ul. Główna,1.0,923
20,Brzezinka Średzka - ul. Główna,Brzezina - Kościół,3.0,923
21,Brzezina - Kościół,BRZEZINA (pętla),1.0,923
1,LEŚNICA,RUBCZAKA (Stacja kolejowa),2.0,948
2,RUBCZAKA (Stacja kolejowa),Rubczaka,1.0,948
3,Rubczaka,Średzka,1.0,948
4,Średzka,Eluarda,2.0,948
5,Eluarda,Zajazdowa,1.0,948
6,Zajazdowa,Krępicka - szkoła,1.0,948
7,Krępicka - szkoła,Krępicka,1.0,948
8,Krępicka,Krępicka,0.0,948
9,Krępicka,Mokrzańska,1.0,948
10,Mokrzańska,ŻAR,3.0,948
11,ŻAR,Krępice,2.0,948
12,Krępice,Wróblowice,2.0,948
13,Wróblowice,Błonie,3.0,948
14,Błonie,Źródła,2.0,948
15,Źródła,Kadłub wieś,4.0,948
16,Kadłub wieś,Kadłub NŻ,1.0,948
17,Kadłub NŻ,Miękinia Cegielnia,2.0,948
18,Miękinia Cegielnia,Miękinia - stacja PKP,1.0,948
19,Miękinia - stacja PKP,Miękinia - pętla,3.0,948
1,SĘPOLNO,Libelta,2.0,145
2,Libelta,Monte Cassino,1.0,145
3,Monte Cassino,Okrzei,1.0,145
4,Okrzei,Partyzantów,1.0,145
5,Partyzantów,Tramwajowa,2.0,145
6,Tramwajowa,Hala Stulecia,2.0,145
7,Hala Stulecia,Kliniki - Politechnika Wrocławska,2.0,145
8,Kliniki - Politechnika Wrocławska,PL. GRUNWALDZKI,3.0,145
9,PL. GRUNWALDZKI,most Grunwaldzki,2.0,145
10,most Grunwaldzki,Poczta Główna,3.0,145
11,Poczta Główna,skwer Krasińskiego,3.0,145
12,skwer Krasińskiego,DWORZEC GŁÓWNY,2.0,145
13,DWORZEC GŁÓWNY,DWORZEC GŁÓWNY,3.0,145
14,DWORZEC GŁÓWNY,DWORZEC AUTOBUSOWY,3.0,145
15,DWORZEC AUTOBUSOWY,Dyrekcyjna,2.0,145
16,Dyrekcyjna,Borowska,3.0,145
17,Borowska,Śliczna,2.0,145
18,Śliczna,ROD Bajki,2.0,145
19,ROD Bajki,Działkowa,3.0,145
20,Działkowa,GAJ,2.0,145
21,GAJ,Świeradowska,1.0,145
22,Świeradowska,Morwowa,2.0,145
23,Morwowa,BARDZKA (Cmentarz),1.0,145
24,BARDZKA (Cmentarz),Buforowa-Rondo,2.0,145
25,Buforowa-Rondo,Konduktorska,1.0,145
26,Konduktorska,Malinowskiego,1.0,145
27,Malinowskiego,Jagodzińska,1.0,145
28,Jagodzińska,Kajdasza,1.0,145
29,Kajdasza,Vivaldiego,2.0,145
30,Vivaldiego,Iwiny - rondo,2.0,145
1,Stadion Olimpijski,8 Maja,2.0,941
2,8 Maja,Godebskiego (AWF Wrocław),1.0,941
3,Godebskiego (AWF Wrocław),SĘPOLNO,1.0,941
4,SĘPOLNO,Monopolowa,2.0,941
5,Monopolowa,Kolumba,1.0,941
6,Kolumba,Magellana,1.0,941
7,Magellana,Swojczyce,2.0,941
8,Swojczyce,Wilczyce - Wilczycka (Stary Młyn),7.0,941
9,Wilczyce - Wilczycka (Stary Młyn),Wilczyce - Wilczycka (Clarena),2.0,941
10,Wilczyce - Wilczycka (Clarena),Kiełczówek,2.0,941
11,Kiełczówek,Kiełczówek - pętla,1.0,941
12,Kiełczówek - pętla,Kiełczówek - skrzy. Imbirowa,1.0,941
13,Kiełczówek - skrzy. Imbirowa,Kiełczówek - Sielska Zagroda,1.0,941
14,Kiełczówek - Sielska Zagroda,Kiełczów - Rzeczna,1.0,941
15,Kiełczów - Rzeczna,Kiełczów - cmentarz,2.0,941
16,Kiełczów - cmentarz,Kiełczów - pętla/Wrocławska,1.0,941
17,Kiełczów - pętla/Wrocławska,Kiełczów - Zgodna,1.0,941
18,Kiełczów - Zgodna,Piecowice,4.0,941
19,Piecowice,Kamień - skrzy. Rubinowa,4.0,941
20,Kamień - skrzy. Rubinowa,Kamień - skrzy. Diamentowa,0.0,941
21,Kamień - skrzy. Diamentowa,Kamień - skrzy.,1.0,941
22,Kamień - skrzy.,Kamień - Bursztynowa,2.0,941
23,Kamień - Bursztynowa,Długołęka - Nowy Urząd,2.0,941
24,Długołęka - Nowy Urząd,Długołęka - Kościół,1.0,941
25,Długołęka - Kościół,Długołęka - Broniewskiego (na wys. nr 11),1.0,941
26,Długołęka - Broniewskiego (na wys. nr 11),Długołęka - Parkowa/skrzy.,3.0,941
